Date	Unit Count	Order Count	Sales
2023-01-01	2	1	49.98
2023-01-02	0	0	0.0
2023-01-03	8	8	199.92
2023-01-04	2	2	49.98
2023-01-05	4	3	99.96
2023-01-06	1	1	24.99
2023-01-07	1	1	24.99
2023-01-08	3	3	74.97
2023-01-09	3	3	74.97
2023-01-10	2	2	49.98
2023-01-11	10	7	249.9
2023-01-12	5	5	124.95
2023-01-13	4	4	99.96
2023-01-14	5	5	124.95
2023-01-15	5	4	124.95
2023-01-16	5	5	124.95
2023-01-17	4	3	99.96
2023-01-18	2	2	49.98
2023-01-19	6	6	149.94
2023-01-20	0	0	0.0
2023-01-21	3	3	74.97
2023-01-22	7	7	174.93
2023-01-23	16	7	399.84
2023-01-24	3	3	74.97
2023-01-25	6	5	149.94
2023-01-26	3	3	74.97
2023-01-27	3	3	74.97
2023-01-28	1	1	24.99
2023-01-29	6	6	149.94
2023-01-30	4	4	99.96
2023-01-31	2	2	49.98
2023-02-01	6	4	149.94
2023-02-02	5	4	124.95
2023-02-03	7	5	174.93
2023-02-04	2	2	49.98
2023-02-05	5	5	124.95
2023-02-06	4	4	99.96
2023-02-07	11	10	274.89
2023-02-08	8	8	199.92
2023-02-09	5	4	124.95
2023-02-10	3	3	74.97
2023-02-11	4	4	99.96
2023-02-12	8	6	199.92
2023-02-13	4	4	99.96
2023-02-14	8	6	199.92
2023-02-15	8	7	199.92
2023-02-16	5	5	124.95
2023-02-17	2	2	49.98
2023-02-18	3	3	74.97
2023-02-19	0	0	0.0
2023-02-20	6	6	149.94
2023-02-21	4	4	99.96
2023-02-22	8	6	199.92
2023-02-23	6	6	149.94
2023-02-24	6	5	149.94
2023-02-25	4	4	99.96
2023-02-26	6	6	149.94
2023-02-27	7	5	174.93
2023-02-28	6	4	149.94
2023-03-01	9	9	224.91
2023-03-02	8	7	199.92
2023-03-03	5	5	124.95
2023-03-04	3	3	74.97
2023-03-05	0	0	0.0
2023-03-06	4	4	99.96
2023-03-07	2	2	49.98
2023-03-08	4	3	99.96
2023-03-09	1	1	24.99
2023-03-10	3	3	74.97
2023-03-11	5	5	124.95
2023-03-12	5	5	124.95
2023-03-13	10	7	249.9
2023-03-14	6	6	149.94
2023-03-15	7	7	174.93
2023-03-16	3	3	74.97
2023-03-17	4	4	99.96
2023-03-18	3	3	74.97
2023-03-19	1	1	24.99
2023-03-20	1	1	24.99
2023-03-21	10	8	249.9
2023-03-22	5	4	124.95
2023-03-23	6	5	149.94
2023-03-24	4	4	99.96
2023-03-25	7	5	174.93
2023-03-26	1	1	24.99
2023-03-27	7	3	174.93
2023-03-28	3	3	74.97
2023-03-29	7	7	174.93
2023-03-30	2	2	49.98
2023-03-31	3	3	74.97
2023-04-01	4	4	99.96
2023-04-02	3	3	74.97
2023-04-03	4	3	99.96
2023-04-04	5	5	124.95
2023-04-05	5	5	124.95
2023-04-06	5	4	124.95
2023-04-07	4	4	99.96
2023-04-08	6	6	149.94
2023-04-09	8	6	199.92
2023-04-10	13	6	324.87
2023-04-11	4	4	99.96
2023-04-12	4	4	99.96
2023-04-13	3	3	74.97
2023-04-14	3	3	74.97
2023-04-15	2	2	49.98
2023-04-16	2	2	49.98
2023-04-17	1	1	24.99
2023-04-18	4	4	99.96
2023-04-19	1	1	24.99
2023-04-20	2	2	49.98
2023-04-21	3	3	74.97
2023-04-22	1	1	24.99
2023-04-23	0	0	0.0
2023-04-24	22	10	549.78
2023-04-25	5	5	124.95
2023-04-26	4	3	99.96
2023-04-27	9	8	224.91
2023-04-28	4	4	99.96
2023-04-29	1	1	24.99
2023-04-30	0	0	0.0
2023-05-01	1	1	24.99
2023-05-02	2	2	49.98
2023-05-03	5	5	124.95
2023-05-04	6	5	149.94
2023-05-05	5	4	124.95
2023-05-06	1	1	24.99
2023-05-07	5	5	124.95
2023-05-08	1	1	24.99
2023-05-09	2	1	49.98
2023-05-10	1	1	24.99
2023-05-11	1	1	24.99
2023-05-12	10	9	249.9
2023-05-13	3	3	74.97
2023-05-14	0	0	0.0
2023-05-15	2	1	49.98
2023-05-16	14	6	349.86
2023-05-17	2	2	49.98
2023-05-18	9	9	224.91
2023-05-19	6	6	149.94
2023-05-20	5	3	124.95
2023-05-21	4	4	99.96
2023-05-22	5	5	124.95
2023-05-23	6	5	149.94
2023-05-24	17	9	424.83
2023-05-25	10	8	249.9
2023-05-26	6	6	149.94
2023-05-27	4	4	99.96
2023-05-28	3	3	74.97
2023-05-29	1	1	24.99
2023-05-30	2	2	49.98
2023-05-31	7	7	174.93
2023-06-01	4	4	99.96
2023-06-02	0	0	0.0
2023-06-03	3	2	74.97
2023-06-04	1	1	24.99
2023-06-05	6	5	149.94
2023-06-06	5	4	124.95
2023-06-07	2	2	49.98
2023-06-08	6	3	149.94
2023-06-09	2	2	49.98
2023-06-10	1	1	24.99
