Date	Unit Count	Order Count	Sales
2024-07-06	2	2	24.99
2024-07-07	1	1	24.99
2024-07-08	0	0	0.0
2024-07-09	1	1	24.99
2024-07-10	0	0	0.0
2024-07-11	0	0	0.0
2024-07-12	1	1	24.99
2024-07-13	1	1	24.99
2024-07-14	1	1	24.99
2024-07-15	1	1	24.99
2024-07-16	4	4	99.96
2024-07-17	1	1	24.99
2024-07-18	0	0	0.0
2024-07-19	5	3	124.95
2024-07-20	0	0	0.0
2024-07-21	0	0	0.0
2024-07-22	1	1	24.99
2024-07-23	0	0	0.0
2024-07-24	1	1	24.99
2024-07-25	0	0	0.0
2024-07-26	1	1	24.99
2024-07-27	0	0	0.0
2024-07-28	0	0	0.0
2024-07-29	0	0	0.0
2024-07-30	1	1	24.99
2024-07-31	2	1	49.98
2024-08-01	0	0	0.0
2024-08-02	1	1	24.99
2024-08-03	0	0	0.0
2024-08-04	1	1	24.99
2024-08-05	0	0	0.0
2024-08-06	3	2	74.97
2024-08-07	0	0	0.0
2024-08-08	1	1	24.99
2024-08-09	1	1	24.99
2024-08-10	4	1	99.96
2024-08-11	1	1	24.99
2024-08-12	2	2	49.98
2024-08-13	4	4	99.96
2024-08-14	0	0	0.0
2024-08-15	2	2	49.98
2024-08-16	1	1	24.99
2024-08-17	0	0	0.0
2024-08-18	1	1	24.99
2024-08-19	7	2	174.93
2024-08-20	1	1	24.99
2024-08-21	2	2	49.98
2024-08-22	1	1	24.99
2024-08-23	0	0	0.0
2024-08-24	2	2	49.98
2024-08-25	1	1	24.99
2024-08-26	2	2	49.98
2024-08-27	1	1	24.99
2024-08-28	3	2	74.97
2024-08-29	2	2	49.98
2024-08-30	0	0	0.0
2024-08-31	0	0	0.0
2024-09-01	2	2	49.98
2024-09-02	0	0	0.0
2024-09-03	0	0	0.0
2024-09-04	3	3	74.97
2024-09-05	0	0	0.0
2024-09-06	3	3	74.97
2024-09-07	1	1	24.99
2024-09-08	0	0	0.0
2024-09-09	1	1	24.99
2024-09-10	1	1	24.99
2024-09-11	2	2	49.98
2024-09-12	1	1	24.99
2024-09-13	2	2	49.98
2024-09-14	0	0	0.0
2024-09-15	1	1	24.99
2024-09-16	3	3	74.97
2024-09-17	1	1	24.99
2024-09-18	0	0	0.0
2024-09-19	2	2	49.98
2024-09-20	0	0	0.0
2024-09-21	1	1	24.99
2024-09-22	1	1	24.99
2024-09-23	1	1	24.99
2024-09-24	1	1	24.99
2024-09-25	3	3	74.97
2024-09-26	1	1	24.99
2024-09-27	2	1	49.98
