Date	Unit Count	Order Count	Sales
2024-03-15	1	1	39.99
2024-03-16	1	1	39.99
2024-03-17	1	1	39.99
2024-03-18	3	3	119.97
2024-03-19	1	1	39.99
2024-03-20	4	3	159.96
2024-03-21	4	4	159.96
2024-03-22	3	3	119.97
2024-03-23	3	3	119.97
2024-03-24	2	2	79.98
2024-03-25	1	1	39.99
2024-03-26	2	2	79.98
2024-03-27	1	1	39.99
2024-03-28	2	2	79.98
2024-03-29	3	3	119.97
2024-03-30	1	1	39.99
2024-03-31	0	0	0.0
2024-04-01	1	1	39.99
2024-04-02	6	4	239.94
2024-04-03	1	1	39.99
2024-04-04	2	2	79.98
2024-04-05	1	1	39.99
2024-04-06	1	1	39.99
2024-04-07	5	5	199.95
2024-04-08	5	5	199.95
2024-04-09	6	6	239.94
2024-04-10	0	0	0.0
2024-04-11	5	4	199.95
2024-04-12	3	3	119.97
2024-04-13	2	2	79.98
2024-04-14	0	0	0.0
2024-04-15	1	1	39.99
2024-04-16	0	0	0.0
2024-04-17	3	2	119.97
2024-04-18	1	1	39.99
2024-04-19	5	5	199.95
2024-04-20	5	5	199.95
2024-04-21	0	0	0.0
2024-04-22	3	2	119.97
2024-04-23	7	7	279.93
2024-04-24	3	3	119.97
2024-04-25	5	4	199.95
2024-04-26	2	2	79.98
2024-04-27	1	1	39.99
2024-04-28	1	1	39.99
2024-04-29	1	1	39.99
2024-04-30	4	4	159.96
2024-05-01	6	5	239.94
2024-05-02	7	4	279.93
2024-05-03	2	2	79.98
2024-05-04	3	3	119.97
2024-05-05	2	2	79.98
2024-05-06	4	4	159.96
2024-05-07	2	2	79.98
2024-05-08	2	2	79.98
2024-05-09	2	2	79.98
2024-05-10	4	4	159.96
2024-05-11	4	4	159.96
2024-05-12	1	1	39.99
2024-05-13	1	1	39.99
2024-05-14	4	4	159.96
2024-05-15	4	4	159.96
2024-05-16	3	3	119.97
2024-05-17	2	2	79.98
2024-05-18	4	4	159.96
2024-05-19	0	0	0.0
2024-05-20	3	3	119.97
2024-05-21	1	1	39.99
2024-05-22	1	1	39.99
2024-05-23	7	6	279.93
2024-05-24	1	1	39.99
2024-05-25	2	2	79.98
2024-05-26	2	2	79.98
2024-05-27	1	1	39.99
2024-05-28	2	2	79.98
2024-05-29	5	5	199.95
2024-05-30	7	4	279.93
2024-05-31	1	1	39.99
2024-06-01	1	1	39.99
2024-06-02	2	2	79.98
2024-06-03	1	1	39.99
2024-06-04	2	2	79.98
2024-06-05	2	2	79.98
2024-06-06	3	3	119.97
2024-06-07	2	2	79.98
2024-06-08	1	1	39.99
2024-06-09	6	6	239.94
2024-06-10	1	1	39.99
2024-06-11	6	5	239.94
2024-06-12	5	3	199.95
2024-06-13	4	4	159.96
2024-06-14	2	2	79.98
2024-06-15	2	2	79.98
2024-06-16	3	3	119.97
2024-06-17	3	3	119.97
2024-06-18	7	3	279.93
2024-06-19	4	4	159.96
2024-06-20	1	1	39.99
2024-06-21	4	4	159.96
2024-06-22	0	0	0.0
2024-06-23	1	1	39.99
2024-06-24	2	2	79.98
2024-06-25	2	2	79.98
2024-06-26	1	1	39.99
2024-06-27	3	3	119.97
2024-06-28	2	2	79.98
2024-06-29	0	0	0.0
2024-06-30	0	0	0.0
2024-07-01	1	1	39.99
2024-07-02	2	2	79.98
2024-07-03	1	1	39.99
2024-07-04	1	1	39.99
2024-07-05	4	3	159.96
2024-07-06	0	0	0.0
2024-07-07	0	0	0.0
2024-07-08	3	2	119.97
2024-07-09	7	6	279.93
2024-07-10	5	5	199.95
2024-07-11	5	4	199.95
2024-07-12	0	0	0.0
2024-07-13	1	1	39.99
2024-07-14	2	2	79.98
2024-07-15	3	3	119.97
2024-07-16	3	3	119.97
2024-07-17	7	3	279.93
2024-07-18	2	2	79.98
2024-07-19	3	3	119.97
2024-07-20	3	1	119.97
2024-07-21	1	1	39.99
2024-07-22	5	3	199.95
2024-07-23	3	3	119.97
2024-07-24	2	2	79.98
2024-07-25	2	2	79.98
2024-07-26	7	6	279.93
2024-07-27	1	1	39.99
2024-07-28	1	1	39.99
2024-07-29	4	4	159.96
2024-07-30	4	4	159.96
2024-07-31	1	1	39.99
2024-08-01	0	0	0.0
2024-08-02	4	4	159.96
2024-08-03	2	2	79.98
2024-08-04	0	0	0.0
2024-08-05	2	2	79.98
2024-08-06	2	2	79.98
2024-08-07	5	3	199.95
2024-08-08	3	3	119.97
2024-08-09	0	0	0.0
2024-08-10	0	0	0.0
2024-08-11	2	2	79.98
2024-08-12	5	3	199.95
2024-08-13	2	2	79.98
2024-08-14	5	5	199.95
2024-08-15	9	5	359.91
2024-08-16	2	1	79.98
2024-08-17	0	0	0.0
2024-08-18	0	0	0.0
2024-08-19	0	0	0.0
2024-08-20	6	4	239.94
2024-08-21	1	1	39.99
2024-08-22	0	0	0.0
2024-08-23	4	2	159.96
2024-08-24	1	1	39.99
2024-08-25	3	2	119.97
2024-08-26	3	3	119.97
2024-08-27	4	4	159.96
2024-08-28	3	3	119.97
2024-08-29	6	5	239.94
2024-08-30	5	4	199.95
2024-08-31	0	0	0.0
2024-09-01	1	1	39.99
2024-09-02	3	3	119.97
2024-09-03	5	3	199.95
2024-09-04	2	2	79.98
2024-09-05	3	3	119.97
2024-09-06	0	0	0.0
2024-09-07	3	3	119.97
2024-09-08	2	2	79.98
2024-09-09	1	1	39.99
2024-09-10	3	3	119.97
2024-09-11	2	2	79.98
