Date	Unit Count	Order Count	Sales
2023-01-01	16	14	399.84
2023-01-02	16	15	399.84
2023-01-03	27	23	674.73
2023-01-04	24	16	599.76
2023-01-05	15	12	374.85
2023-01-06	20	19	499.8
2023-01-07	18	17	449.82
2023-01-08	19	17	474.81
2023-01-09	18	17	449.82
2023-01-10	24	20	599.76
2023-01-11	23	20	574.77
2023-01-12	20	20	499.8
2023-01-13	19	14	474.81
2023-01-14	8	8	199.92
2023-01-15	22	20	549.78
2023-01-16	21	19	524.79
2023-01-17	29	20	724.71
2023-01-18	26	24	649.74
2023-01-19	23	22	574.77
2023-01-20	17	15	424.83
2023-01-21	31	26	774.69
2023-01-22	19	19	474.81
2023-01-23	22	19	549.78
2023-01-24	32	22	799.68
2023-01-25	30	27	749.7
2023-01-26	28	21	699.72
2023-01-27	24	21	599.76
2023-01-28	24	23	599.76
2023-01-29	25	24	624.75
2023-01-30	24	23	599.76
2023-01-31	17	17	399.84
2023-02-01	34	30	824.67
2023-02-02	35	28	874.65
2023-02-03	23	21	574.77
2023-02-04	22	22	549.78
2023-02-05	19	19	474.81
2023-02-06	29	25	724.71
2023-02-07	19	18	474.81
2023-02-08	28	27	699.72
2023-02-09	28	27	699.72
2023-02-10	21	18	524.79
2023-02-11	18	16	449.82
2023-02-12	21	20	524.79
2023-02-13	29	25	724.71
2023-02-14	26	23	649.74
2023-02-15	34	30	824.67
2023-02-16	27	24	674.73
2023-02-17	25	24	624.75
2023-02-18	26	26	649.74
2023-02-19	19	17	474.81
2023-02-20	22	20	549.78
2023-02-21	31	29	774.69
2023-02-22	35	31	874.65
2023-02-23	29	26	724.71
2023-02-24	16	16	399.84
2023-02-25	24	21	599.76
2023-02-26	19	19	474.81
2023-02-27	13	13	324.87
2023-02-28	36	32	899.64
2023-03-01	26	18	649.74
2023-03-02	27	24	674.73
2023-03-03	35	29	874.65
2023-03-04	18	18	449.82
2023-03-05	15	15	374.85
2023-03-06	27	21	674.73
2023-03-07	15	15	374.85
2023-03-08	14	14	349.86
2023-03-09	30	25	749.7
2023-03-10	22	18	549.78
2023-03-11	24	22	599.76
2023-03-12	22	19	549.78
2023-03-13	19	14	474.81
2023-03-14	28	20	699.72
2023-03-15	33	23	824.67
2023-03-16	19	16	474.81
2023-03-17	18	17	449.82
2023-03-18	20	20	499.8
2023-03-19	17	16	424.83
2023-03-20	18	17	449.82
2023-03-21	35	29	874.65
2023-03-22	25	20	624.75
2023-03-23	21	19	524.79
2023-03-24	20	20	499.8
2023-03-25	16	16	399.84
2023-03-26	12	12	299.88
2023-03-27	13	13	324.87
2023-03-28	26	24	649.74
2023-03-29	20	15	499.8
2023-03-30	24	22	599.76
2023-03-31	33	22	824.67
2023-04-01	15	14	374.85
2023-04-02	19	19	474.81
2023-04-03	23	19	574.77
2023-04-04	18	16	449.82
2023-04-05	23	16	574.77
2023-04-06	22	17	549.78
2023-04-07	16	16	399.84
2023-04-08	17	14	424.83
2023-04-09	13	12	324.87
2023-04-10	13	13	324.87
2023-04-11	21	18	524.79
2023-04-12	24	21	599.76
2023-04-13	22	18	549.78
2023-04-14	30	28	749.7
2023-04-15	15	13	374.85
2023-04-16	20	20	499.8
2023-04-17	24	19	599.76
2023-04-18	23	21	574.77
2023-04-19	26	24	649.74
2023-04-20	18	17	449.82
2023-04-21	16	15	399.84
2023-04-22	24	24	599.76
2023-04-23	15	15	374.85
2023-04-24	37	28	924.63
2023-04-25	31	20	774.69
2023-04-26	32	24	799.68
2023-04-27	28	22	699.72
2023-04-28	15	14	374.85
2023-04-29	18	18	449.82
2023-04-30	23	23	574.77
2023-05-01	21	21	524.79
2023-05-02	17	14	424.83
2023-05-03	21	20	524.79
2023-05-04	19	15	474.81
2023-05-05	24	21	599.76
2023-05-06	30	25	749.7
2023-05-07	18	17	449.82
2023-05-08	32	26	799.68
2023-05-09	24	21	599.76
2023-05-10	27	22	674.73
2023-05-11	24	22	599.76
