Date	Unit Count	Order Count	Sales
2025-02-24	0	0	0.0
2025-02-25	0	0	0.0
2025-02-26	0	0	0.0
2025-02-27	0	0	0.0
2025-02-28	0	0	0.0
2025-03-01	0	0	0.0
2025-03-02	0	0	0.0
2025-03-03	0	0	0.0
2025-03-04	0	0	0.0
2025-03-05	0	0	0.0
2025-03-06	1	1	39.99
2025-03-07	0	0	0.0
2025-03-08	0	0	0.0
2025-03-09	0	0	0.0
2025-03-10	0	0	0.0
2025-03-11	3	2	119.97
2025-03-12	1	1	39.99
2025-03-13	0	0	0.0
2025-03-14	1	1	39.99
2025-03-15	0	0	0.0
2025-03-16	3	2	119.97
2025-03-17	3	1	119.97
2025-03-18	0	0	0.0
2025-03-19	1	1	39.99
2025-03-20	0	0	0.0
2025-03-21	2	1	79.98
2025-03-22	2	2	79.98
2025-03-23	0	0	0.0
2025-03-24	0	0	0.0
2025-03-25	0	0	0.0
2025-03-26	0	0	0.0
2025-03-27	0	0	0.0
2025-03-28	0	0	0.0
2025-03-29	0	0	0.0
2025-03-30	0	0	0.0
2025-03-31	2	2	79.98
